Mutant	Formula	Neg_R1	Neg_R2	Neg_R3	Pos_R1	Pos_R2	Pos_R3
F34365	C3H4O4	1.955929002	1.785583119	2.308512065			
F34365	C5H5NO2				13.03122762	12.16096677	15.43994137
F34365	C6H8O7	73.64819871	79.72519748	77.97234371			
F34365	C6H10O3	10.16701288	10.16021577	11.28514884			
F34365	C3H5NO2				17.95845255	17.6766105	18.51542756
F34365	C3H6N2				15.28259593	19.11436181	16.05504204
F34365	C6H10N2O3				7.293301983	7.432868564	9.321113588
F34365	C7H14N2O4					0.375471243	0.868382805
F34365	C10H13N5O5				5.034252588	4.195300369	4.948246902
F34365	C7H11NO4				3.484248651	4.626591737	3.465602039
F34365	C6H12N2O3				25.35933052	28.59049909	26.05014912
F34365	C7H8O6	1.13379743	1.216121185	1.300630058			
F34365	C5H6O4	1.882965014	1.971865907	2.255087595			
F34365	C6H11NO2				15.52690963	16.91566222	17.82615759
F34365	C6H10O6	72.62409488	85.64078654	84.3629133			
F34365	C3H7NO2S				7.936321413	9.170201603	7.800029609
F34365	C3H5O6P		0.752786077	0.564275709			
F34365	C6H14N4O2				17.19215933	19.14479867	15.51384302
F34365	C5H5N5				13.76354952	14.95334182	18.56776553
F34365	C5H12N2O2				22.07211176	22.21094783	24.67677679
F34365	C4H7NO4				181.2577456	192.3693778	182.125178
F34365	C6H13N3O3				69.99536326	77.69438075	64.66234042
F63912	C9H15N4O8P				9.987199839	8.472369788	8.812250502
F63912	C5H8O4	2.014061693	2.06759547	2.111291035			
F63912	C3H7NO3				938.4457552	1008.33145	1125.506338
F63912	C6H6O6	7.409075841	7.793023995	7.626579592			
F63912	C6H12O4	2.478224012	3.585818184	3.096760701			
F63912	C7H10O4	5.392516373	6.252482279	5.132048102			
F63912	C10H13N5O4				2.629311319	2.201357788	1.937026475
F63912	C11H12N2O2				7.479377467	7.669160968	8.309189073
F63912	C5H9NO2				31.61797744	40.50378231	35.71501301
F63912	C3H4O2	1.023227359	0.576073594	0.911610336			
F63912	C6H13NO2				470.0969988	528.2775796	567.9935033
F63912	C5H10O4	4.198688498	5.098134802	4.14418154			
F63912	C5H9NO5				12.61640215	16.34436877	13.23445589
F63912	C4H4O4	1.869177608	1.412192645	1.507759359			
F63912	C5H7NO3				30.6129756	40.35958775	29.13954996
F63912	C15H22N6O5S				8.579913682	11.01283927	8.669977889
F63912	C9H16N2O5				26.44348906	22.08710104	16.41430949
F63912	C6H11NO4				4.100884867	3.352572537	3.556269264
F63912	C4H6O3	6.536694563	8.835074467	7.291785785			
F63912	C9H11NO3				49.55334979	68.38978846	62.12111164
F63912	C5H9NO4	722.5345277	891.2586071	807.5171386			
F63912	C3H6O4	96.11464954	82.43113458	68.31325946			
F63912	C6H13O9P	260.2619159	371.9422597	352.9543688			
F63912	C6H14N2O2				21.55271735	29.36136092	25.8883637
F63912	C5H8N2O5				18.25480373	21.47458639	20.3451745
F63912	C4H9NO3				13.07049267	8.758916306	10.78562603
F63912	C4H6O4	6.193232844	5.222530062	6.789837022			
F63912	C7H10O7	5.51690347	6.642512154	6.314729105			
F63912	C3H7NO2				375.6150716	502.5555274	468.6877854
F63912	C7H14N2O3				11.07024372	13.43577133	11.10850816
F63912	C7H12O5	39.35696467	51.23002626	45.54919906			
F63912	C4H6O5	7.503588865	6.706919727	8.082691008			
F63912	C7H7NO2				2.891791575	5.101135002	4.604123849
